Table 13: Local Authority: Gross Domestic Product (GDP)1 chained volume measures (CVM) per head2 annual growth rates,,,,,,,,,,,,,,,,,,,,,,,%
West Midlands,E07000235,Malvern Hills,-,5.9,4.0,3.1,5.1,2.2,1.9,-0.9,2.1,-0.7,-2.2,-4.0,3.8,3.3,1.0,-0.2,4.2,-1.7,-3.1,3.3,2.0
West Midlands,E07000236,Redditch,-,-0.7,6.6,-6.5,-0.9,7.5,0.5,-0.3,4.6,1.9,3.2,-12.3,3.8,6.8,2.3,-0.3,9.1,8.0,5.3,-2.3,-0.1
West Midlands,E07000237,Worcester,-,3.8,3.4,-0.1,0.1,3.3,5.1,-0.7,1.7,-0.5,-2.7,-5.6,3.5,2.9,4.5,2.2,-0.3,7.1,-13.2,3.8,0.7
West Midlands,E07000238,Wychavon,-,3.0,2.1,0.1,0.6,2.3,1.7,0.5,2.5,-0.7,1.2,-7.4,2.3,4.3,1.9,3.6,3.5,2.4,-4.5,1.7,0.8
West Midlands,E07000239,Wyre Forest,-,3.3,0.8,-1.0,2.5,1.9,2.7,0.1,2.9,-1.0,-1.3,-5.0,1.3,2.2,0.6,1.6,0.8,3.5,0.2,-5.5,6.2
West Midlands,E08000025,Birmingham,-,2.1,2.7,2.3,1.3,1.9,2.5,0.5,-0.4,1.3,-2.5,-7.3,1.7,1.3,-1.6,4.8,1.8,1.3,1.8,-0.2,3.6
West Midlands,E08000026,Coventry,-,3.8,1.8,3.2,1.2,3.0,3.1,1.6,-1.1,0.8,-2.2,-5.3,3.7,3.1,4.2,-0.7,4.6,3.2,0.5,-6.9,-1.1
West Midlands,E08000027,Dudley,-,4.2,-0.4,2.7,0.9,-0.2,3.0,1.2,0.9,-0.1,-3.7,-7.1,4.9,3.8,-0.6,-2.3,0.4,1.1,1.2,3.3,3.4
West Midlands,E08000028,Sandwell,-,2.6,0.1,2.1,2.2,1.3,2.9,-0.8,0.0,-2.9,-5.3,-7.3,4.9,-0.5,-3.3,0.7,7.4,2.6,1.3,0.7,4.7
West Midlands,E08000029,Solihull,-,6.0,1.6,3.6,1.9,2.2,1.5,0.5,0.1,1.0,-5.3,-10.8,10.4,6.4,2.1,-2.4,1.1,11.2,10.3,4.3,5.0
West Midlands,E08000030,Walsall,-,2.4,-3.2,-4.9,-2.3,-1.0,5.3,3.2,2.2,1.6,0.4,-7.8,0.2,6.4,-3.6,-3.1,4.9,0.2,-3.6,5.3,-9.6
West Midlands,E08000031,Wolverhampton,-,2.9,1.6,2.8,1.1,0.6,3.3,2.2,0.3,-0.8,-3.9,-5.4,4.3,2.7,2.0,-2.1,-5.9,-7.2,0.7,1.4,0.2
East of England,E06000031,Peterborough,-,4.6,2.1,3.1,2.6,0.3,1.1,1.2,9.9,-2.2,-3.1,-12.2,2.5,2.3,1.1,-10.5,5.6,-3.3,3.7,6.4,7.8
East of England,E06000032,Luton,-,4.2,3.8,2.0,1.7,3.6,1.3,3.6,2.9,3.8,-1.5,-9.0,-1.1,-0.4,-4.8,8.0,8.0,1.2,3.2,-0.4,4.5
East of England,E06000033,Southend-on-Sea,-,2.2,5.5,4.7,1.2,6.4,2.7,0.7,1.9,1.1,-3.7,-2.9,0.8,0.4,-0.8,0.3,1.6,0.7,-3.4,2.3,1.0
East of England,E06000034,Thurrock,-,2.9,-2.9,-5.6,-18.2,13.7,0.9,7.0,2.0,-7.9,-5.0,-4.9,4.6,2.5,-21.1,-26.1,3.6,5.5,7.2,9.8,-7.6
East of England,E06000055,Bedford,-,3.9,2.1,1.4,1.2,3.2,1.8,4.6,1.4,-0.6,-1.0,-6.3,0.6,-0.6,-0.4,0.5,3.9,-0.6,35.5,-14.1,5.5
East of England,E06000056,Central Bedfordshire,-,2.5,3.2,0.8,1.0,1.9,1.0,2.3,1.7,-0.3,-0.9,-5.5,2.5,1.1,0.9,0.1,6.3,-3.0,3.8,7.0,1.8
East of England,E07000008,Cambridge,-,6.4,4.9,6.0,0.1,1.0,0.7,2.3,6.9,2.6,0.0,-2.1,-1.4,0.6,9.9,3.7,0.3,5.1,-3.1,-0.5,4.5
East of England,E07000009,East Cambridgeshire,-,6.3,0.5,2.6,4.8,-3.1,0.1,9.7,-1.7,-3.9,-0.6,-5.8,2.5,4.8,-3.3,1.5,3.3,4.9,-1.2,4.2,-1.4
East of England,E07000010,Fenland,-,2.9,3.5,1.5,4.3,0.1,-0.3,3.6,-0.9,-2.8,-2.0,-3.5,5.1,5.1,0.9,1.8,7.6,-4.9,-1.3,2.0,0.5
East of England,E07000011,Huntingdonshire,-,4.8,3.0,2.8,1.1,2.0,-0.8,2.6,3.8,0.3,-2.6,-4.5,4.4,1.4,-1.4,-0.2,2.7,1.2,4.6,0.4,1.7
East of England,E07000012,South Cambridgeshire,-,3.9,4.1,3.0,1.6,1.2,3.0,3.4,5.1,-0.1,-2.6,-3.8,3.6,0.1,2.7,-2.3,5.1,0.6,6.0,6.9,2.8
East of England,E07000066,Basildon,-,-1.8,5.5,4.3,0.3,6.9,0.4,0.0,2.4,2.6,-2.1,-10.4,5.0,1.7,-0.2,2.5,4.2,-5.1,1.2,1.9,2.1
East of England,E07000067,Braintree,-,-1.1,2.7,2.7,-0.4,7.3,-1.4,-1.4,0.1,-0.4,-4.3,-6.0,4.6,-0.5,-2.5,0.5,8.8,7.5,14.8,9.8,-6.2
East of England,E07000068,Brentwood,-,0.6,6.1,8.1,3.1,5.8,-1.1,-0.6,2.4,4.3,-5.6,-4.5,2.2,-0.4,-1.7,-1.6,16.9,11.6,-2.3,4.8,5.6
East of England,E07000069,Castle Point,-,-0.2,3.3,3.6,1.4,6.8,-0.2,-0.4,0.6,1.0,-3.3,-3.9,5.3,0.8,2.4,-0.9,4.2,4.0,-2.7,5.8,-3.0
East of England,E07000070,Chelmsford,-,0.0,4.5,4.5,-0.1,5.0,-2.3,-1.8,1.0,0.5,-4.1,-3.6,2.2,1.3,2.7,-0.5,2.4,-3.6,-4.2,1.6,4.4
East of England,E07000071,Colchester,-,1.1,5.4,6.0,2.2,5.8,-0.8,-0.5,1.3,1.1,-2.2,-4.5,4.9,2.1,0.2,-0.7,0.6,5.1,-2.5,3.0,-0.1
East of England,E07000072,Epping Forest,-,3.6,2.7,6.3,3.7,5.5,0.6,-1.4,3.8,2.0,-2.9,-2.0,4.9,0.2,-7.3,-0.9,-0.1,6.3,14.7,3.7,1.4
East of England,E07000073,Harlow,-,-1.8,3.3,1.9,0.7,10.4,5.1,3.7,3.0,-1.7,-6.3,-15.1,3.5,-7.7,5.3,0.3,-1.5,-0.3,-0.9,9.9,-2.3
East of England,E07000074,Maldon,-,0.4,1.6,2.1,-1.5,4.6,-1.6,-0.6,0.7,-0.5,-2.6,-5.7,9.7,-2.6,0.9,0.9,-2.5,1.1,0.3,6.5,-2.2
East of England,E07000075,Rochford,-,-0.5,2.0,3.4,-1.2,6.0,-0.8,0.5,-0.4,-0.6,-3.5,-5.0,6.3,2.4,0.5,2.9,5.5,-1.1,4.9,-0.7,-3.2
East of England,E07000076,Tendring,-,2.8,1.8,0.3,-3.7,7.8,0.6,2.4,2.2,0.5,-3.7,-4.9,4.9,4.0,12.2,19.0,-6.8,-0.7,6.5,18.5,-1.8
East of England,E07000077,Uttlesford,-,5.2,4.8,2.7,-0.3,4.1,0.2,2.5,-0.3,-1.1,-3.2,-5.4,1.7,2.5,5.2,0.3,-2.6,4.2,-3.4,-1.1,0.9
East of England,E07000095,Broxbourne,-,4.0,1.7,2.8,0.9,6.0,0.2,4.3,1.5,2.3,2.1,-5.3,-3.7,-3.1,2.0,9.1,6.7,-4.7,-12.3,-0.8,1.7
East of England,E07000096,Dacorum,-,5.5,4.7,3.2,2.0,3.2,2.6,3.4,0.3,1.6,-0.8,-8.4,0.0,2.3,1.6,-2.7,-1.1,2.5,1.7,8.4,-0.1
East of England,E07000098,Hertsmere,-,4.9,2.1,2.3,2.0,4.1,2.2,1.7,-0.8,1.1,0.4,-3.8,-1.7,-1.0,1.9,7.9,-0.2,8.0,7.9,5.8,0.9
East of England,E07000099,North Hertfordshire,-,3.5,4.9,1.7,1.2,1.9,1.1,1.4,-2.1,-0.1,-1.2,-5.7,2.0,0.3,-1.6,3.8,-3.0,3.3,1.8,7.7,-0.1
East of England,E07000102,Three Rivers,-,1.7,2.8,0.9,-0.5,2.3,0.8,-2.0,-2.5,0.4,-1.8,-6.8,3.6,2.8,-5.5,8.8,10.2,3.1,12.2,6.1,8.7
East of England,E07000103,Watford,-,6.1,6.1,4.4,2.6,3.9,3.4,1.6,2.1,4.6,-1.8,-8.7,-1.9,1.9,7.7,6.1,4.2,5.2,7.0,7.3,-1.3
East of England,E07000143,Breckland,-,1.3,6.3,6.9,30.1,-12.6,-11.9,2.1,3.3,-2.1,-1.5,-1.4,1.3,1.8,-3.8,3.9,5.9,4.7,-4.1,3.9,-7.2
East of England,E07000144,Broadland,-,-1.7,3.4,1.4,2.0,5.1,1.9,4.7,2.6,0.5,1.4,1.9,-2.6,0.1,1.8,3.2,1.9,4.7,8.8,3.8,-0.6
East of England,E07000145,Great Yarmouth,-,2.2,4.3,2.7,0.2,1.5,2.0,1.7,4.6,0.5,0.2,-5.0,1.9,3.3,6.5,1.8,2.1,-4.1,-8.9,-5.3,1.0
East of England,E07000146,King's Lynn and West Norfolk,-,3.9,2.4,1.9,4.1,0.6,0.3,5.0,0.2,0.0,-1.2,-3.2,4.5,3.0,4.2,7.2,-0.7,0.2,1.4,0.1,-0.7
East of England,E07000147,North Norfolk,-,3.6,3.6,2.4,3.7,1.3,0.9,4.5,-0.3,-1.3,-0.7,-2.3,3.3,2.3,-0.8,-1.7,4.1,-1.4,2.5,1.3,-0.5
East of England,E07000148,Norwich,-,6.5,6.6,3.4,2.4,2.6,1.8,3.2,4.8,0.0,-2.9,-5.0,0.6,2.4,0.4,6.7,-1.0,-0.6,-1.4,2.8,2.5
East of England,E07000149,South Norfolk,-,4.0,4.1,2.2,18.2,-5.3,-5.9,2.1,1.9,-1.3,-4.0,-5.8,2.6,3.0,2.1,-5.1,5.1,-3.8,-1.2,-0.8,-0.6
East of England,E07000200,Babergh,-,1.2,3.8,1.1,1.7,1.0,0.1,1.4,2.8,0.1,-1.7,-5.4,5.0,2.6,-1.9,1.9,2.3,-4.1,2.2,0.5,1.2
East of England,E07000202,Ipswich,-,4.5,2.9,1.9,3.0,-0.2,0.3,1.3,8.3,-5.5,-4.9,-11.1,0.3,2.9,-4.5,9.9,1.4,5.6,3.2,-2.1,2.8
East of England,E07000203,Mid Suffolk,-,2.5,4.3,2.0,1.2,-1.0,1.9,4.8,-6.4,-7.6,-0.2,-5.5,6.5,10.3,-0.5,-5.5,1.3,-5.3,-6.9,7.2,-1.9
East of England,E07000240,St Albans,-,1.9,7.0,2.6,4.8,5.9,17.1,-5.9,-8.4,13.7,-0.3,-4.2,0.7,-3.2,11.8,13.2,6.5,1.7,-24.7,0.5,0.6
East of England,E07000241,Welwyn Hatfield,-,5.2,4.7,2.9,1.5,3.1,2.4,4.8,-1.2,-1.8,-2.6,-8.8,-2.4,-8.2,2.9,8.1,1.5,-1.2,-1.1,10.2,3.2
East of England,E07000242,East Hertfordshire,-,7.6,4.8,4.0,-0.1,5.4,-0.2,8.6,4.5,2.4,2.9,-4.2,-7.5,-7.7,-8.8,-0.1,3.5,0.4,7.7,1.1,3.8
East of England,E07000243,Stevenage,-,7.1,7.7,0.5,1.1,5.8,3.4,9.6,2.1,-0.5,-3.0,-7.7,-2.8,-7.6,3.0,4.5,2.6,1.5,-6.4,3.3,-0.3
East of England,E07000244,East Suffolk,-,6.6,6.0,1.9,2.9,1.1,-1.3,6.7,1.7,-0.5,-3.3,-4.3,4.1,2.5,-0.1,1.2,0.0,-2.8,-3.0,2.1,-0.8
East of England,E07000245,West Suffolk,-,4.5,4.6,7.9,1.5,-0.4,1.3,1.5,2.8,-0.7,-1.0,-4.7,1.9,1.0,1.5,1.8,-2.7,1.2,5.1,-0.7,0.2
London,E09000001,City of London,-,-11.1,8.1,-2.5,0.4,10.1,3.4,13.6,4.1,6.6,3.8,-5.8,2.3,1.5,14.3,16.4,-1.7,-6.4,-3.6,-3.4,-7.7
London,E09000002,Barking and Dagenham,-,0.2,-6.6,-2.5,-1.4,3.0,4.7,-1.0,5.8,2.6,-6.2,-11.7,7.2,0.3,-1.9,1.6,-4.1,-1.3,-7.3,-1.6,-0.8
London,E09000003,Barnet,-,3.3,2.8,0.1,2.4,4.1,1.6,0.7,1.5,0.4,-6.8,-3.8,-1.3,0.4,8.1,-2.6,3.6,-1.7,0.5,3.0,-1.5
London,E09000004,Bexley,-,4.2,0.5,3.0,1.9,1.7,0.2,0.4,0.8,-0.2,-4.8,-12.2,3.7,0.4,7.8,8.2,-1.3,-0.9,4.5,-5.6,-3.1
London,E09000005,Brent,-,6.2,3.6,0.1,2.5,2.7,0.8,1.5,1.7,-1.6,-6.9,-4.8,3.0,-0.1,-1.5,2.6,5.9,4.8,7.5,-7.1,0.7
London,E09000006,Bromley,-,5.7,1.2,1.6,1.9,3.5,3.8,1.9,3.8,1.4,-5.2,-9.2,3.0,0.2,2.7,-1.7,-2.2,-3.1,5.3,-0.8,4.2
London,E09000007,Camden,-,2.0,5.2,-0.2,-0.9,2.6,0.9,5.2,0.7,7.4,0.7,-6.7,2.1,4.3,3.6,3.7,6.2,8.3,9.6,0.8,-1.0
London,E09000008,Croydon,-,5.3,2.6,2.1,1.6,4.5,1.6,1.2,2.2,2.7,-6.5,-7.2,-2.2,-3.2,-1.8,2.5,5.9,-2.9,-3.3,0.7,1.7
London,E09000009,Ealing,-,3.5,4.7,0.1,1.3,3.6,1.2,0.9,1.9,0.9,-5.4,-10.6,4.2,2.2,1.3,8.0,3.3,3.1,1.6,-2.2,-0.9
London,E09000010,Enfield,-,3.3,0.4,1.0,1.6,4.7,3.8,1.5,3.6,2.2,-5.2,-11.2,4.6,0.6,-0.2,3.2,1.6,0.2,0.6,-2.6,3.3
London,E09000011,Greenwich,-,17.0,5.3,-6.2,-2.8,-3.5,11.2,-4.1,2.3,0.9,-3.6,-18.9,19.0,-10.7,-13.2,-4.7,0.2,-0.6,0.1,3.7,-1.5
London,E09000012,Hackney,-,4.1,5.6,1.3,-0.6,4.3,1.0,5.8,-1.0,3.4,-2.1,-7.1,6.1,5.0,0.5,-3.6,7.6,4.4,20.9,-9.6,4.7
London,E09000013,Hammersmith and Fulham,-,1.5,4.7,0.7,0.7,2.7,0.9,3.7,-0.5,5.6,0.8,-6.9,6.1,2.4,14.1,2.8,5.7,8.2,1.5,5.2,-0.2
London,E09000014,Haringey,-,3.2,3.8,2.0,0.9,3.1,1.3,3.7,-2.0,2.9,-4.2,-7.7,6.0,2.3,3.4,-1.6,4.3,3.5,-5.3,0.4,-1.4
London,E09000015,Harrow,-,5.0,3.4,1.2,1.2,4.7,2.8,-0.8,2.2,2.3,-5.5,-10.2,3.6,2.6,-10.4,1.1,9.7,-0.4,1.3,2.8,-4.5
London,E09000016,Havering,-,4.0,1.3,2.2,2.7,4.3,2.0,2.1,2.5,2.2,-5.8,-9.9,5.0,-1.0,4.2,1.6,2.1,0.1,1.2,-0.3,0.4
London,E09000017,Hillingdon,-,3.7,7.6,-1.1,-1.8,0.7,2.8,3.1,2.5,5.2,-4.7,-10.5,0.1,4.1,0.9,2.1,3.7,-2.5,-4.5,1.2,-1.6
London,E09000018,Hounslow,-,6.6,9.6,3.4,1.0,0.1,-1.3,2.4,9.5,2.6,-3.3,-9.1,1.8,5.0,7.9,11.8,8.2,3.5,2.2,3.4,4.5
London,E09000019,Islington,-,10.6,12.7,2.9,0.1,3.7,2.7,5.5,0.9,7.3,2.2,-7.5,3.7,1.3,-1.9,3.1,3.2,-1.9,-1.9,-2.0,1.1
London,E09000020,Kensington and Chelsea,-,1.0,0.7,-0.4,0.5,1.3,1.8,3.0,3.3,9.2,1.3,-3.5,5.8,4.0,15.2,10.7,3.8,-0.9,-1.9,-2.8,7.2
London,E09000021,Kingston upon Thames,-,4.8,4.1,0.7,0.2,3.5,4.0,2.0,4.0,6.1,-2.5,-9.2,1.8,1.6,0.9,-6.0,5.4,-1.6,7.1,-3.9,3.4
London,E09000022,Lambeth,-,4.9,4.5,3.3,0.3,2.8,1.9,5.5,1.2,7.7,1.3,-7.6,7.6,2.2,1.5,-2.1,8.3,-0.4,2.0,3.9,-6.3
London,E09000023,Lewisham,-,3.6,4.5,3.5,2.2,5.7,1.8,4.5,-0.4,3.1,-1.6,-7.2,7.5,-1.0,-4.9,-0.5,0.6,5.0,-8.8,-0.9,-2.8
London,E09000024,Merton,-,4.0,0.2,-0.6,0.6,3.6,2.3,2.1,2.2,2.6,-4.1,-10.4,3.5,1.3,2.5,6.0,1.0,1.0,-0.3,-1.4,-0.2
London,E09000025,Newham,-,0.9,4.2,1.5,1.6,2.0,2.5,3.2,-1.2,0.0,-3.4,-9.0,2.1,0.2,6.1,0.4,-1.1,1.0,-0.9,1.0,-0.1
London,E09000026,Redbridge,-,4.7,1.1,1.4,2.4,3.7,3.2,2.5,2.2,0.9,-6.5,-9.9,3.3,-0.3,4.4,-0.1,0.2,1.1,0.1,2.5,-1.6
London,E09000027,Richmond upon Thames,-,4.2,4.6,0.9,-0.1,2.4,0.8,1.0,2.0,3.6,-4.2,-6.9,2.6,2.4,12.3,1.8,1.4,-2.3,2.4,3.7,7.6
London,E09000028,Southwark,-,3.5,7.5,1.5,-0.5,3.6,1.1,6.2,-1.1,6.1,-0.2,-6.5,5.6,12.5,2.5,0.8,-4.0,1.5,3.8,-0.1,2.6
London,E09000029,Sutton,-,4.1,2.5,1.2,1.8,4.4,2.4,2.9,2.8,2.3,-4.0,-10.0,4.0,-0.8,3.5,-0.1,-2.1,-1.7,2.6,1.3,-2.8
London,E09000030,Tower Hamlets,-,2.3,12.3,2.1,-3.3,4.7,2.4,11.9,0.0,7.3,3.5,-7.6,-3.8,5.1,1.4,-2.5,1.2,-4.5,-2.8,4.3,-4.5
London,E09000031,Waltham Forest,-,5.3,1.0,2.2,3.8,4.7,2.8,2.9,1.6,0.8,-6.4,-11.1,3.4,1.1,2.8,-0.5,3.7,3.4,-2.8,1.4,1.2
London,E09000032,Wandsworth,-,-1.1,1.2,5.1,3.2,7.1,-6.0,5.0,-2.5,3.8,-3.5,-2.0,-3.3,9.4,1.6,14.3,0.9,5.3,-13.3,-0.7,-0.5
London,E09000033,Westminster,-,2.0,2.8,-1.4,-2.3,1.5,-0.3,4.8,0.9,9.3,1.8,-5.8,2.4,4.2,1.9,-0.7,3.8,-6.0,10.2,1.2,-1.2
South East,E06000035,Medway,-,2.4,0.0,2.3,2.2,3.6,2.1,3.7,0.6,0.7,-0.7,-5.9,4.8,1.0,3.3,-1.3,1.1,0.4,0.4,1.5,4.9
South East,E06000036,Bracknell Forest,-,4.3,3.3,1.4,4.2,6.0,-0.3,2.9,1.9,2.6,-0.1,-6.2,4.0,4.5,-1.0,-2.4,-1.0,7.9,-2.5,9.4,-7.5
South East,E06000037,West Berkshire,-,7.8,8.7,1.2,3.3,2.6,-1.3,5.7,-0.6,1.3,-2.4,-5.1,4.4,2.5,5.7,1.3,-2.7,6.0,-2.1,-1.2,0.2
South East,E06000038,Reading,-,13.2,14.1,2.2,0.6,4.8,1.2,4.0,0.3,2.4,2.7,-3.2,1.6,4.3,0.0,-1.0,-3.6,6.3,0.0,-0.1,2.7
South East,E06000039,Slough,-,13.8,12.0,0.9,3.6,4.2,3.2,3.9,-0.2,-1.6,-0.9,-6.1,-0.5,3.2,1.9,3.3,0.0,-3.7,1.8,-8.6,2.5
South East,E06000040,Windsor and Maidenhead,-,7.0,3.4,1.8,0.8,4.3,-1.3,3.5,-0.2,-0.5,0.0,-5.3,2.6,4.4,2.7,10.2,-2.1,2.0,2.8,8.2,-3.2
South East,E06000041,Wokingham,-,9.8,0.7,1.7,1.7,5.8,0.7,3.5,4.3,1.6,-3.3,-4.8,3.7,2.1,6.5,-4.7,7.2,0.5,5.5,2.1,9.1
South East,E06000042,Milton Keynes,-,4.9,4.7,1.9,3.7,2.9,-1.6,2.4,6.8,-5.6,2.8,-8.9,-2.7,3.6,1.2,6.4,8.1,4.8,-0.3,4.2,2.3
South East,E06000043,Brighton and Hove,-,6.2,3.8,4.2,3.1,0.0,-0.6,0.7,4.0,-1.6,1.0,-4.8,2.1,1.1,3.7,4.3,-0.9,5.2,-0.4,4.7,1.4
South East,E06000044,Portsmouth,-,1.6,1.8,4.7,1.1,-0.3,2.7,1.9,1.8,4.3,0.8,-4.8,4.1,-1.3,3.4,2.2,0.4,-2.4,-1.3,1.6,-1.0
South East,E06000045,Southampton,-,-2.0,-0.2,0.1,7.5,0.3,0.5,0.1,3.4,0.8,-3.5,1.7,8.0,3.8,-4.7,-4.8,-15.3,3.6,-5.3,0.1,0.9
South East,E06000046,Isle of Wight,-,0.3,0.7,-0.4,2.4,0.7,2.7,2.4,1.7,-0.1,-0.4,-2.4,6.3,1.3,-1.7,4.8,2.9,1.1,-5.1,-1.0,-0.3
South East,E07000004,Aylesbury Vale,-,2.0,2.6,0.1,-0.9,0.8,-0.2,0.4,0.3,2.3,3.7,-5.1,0.2,3.0,-3.7,5.5,-3.2,-2.1,0.0,-3.7,1.2
South East,E07000005,Chiltern,-,5.1,5.4,2.1,2.8,2.4,-2.0,2.2,-0.7,-2.8,0.6,-1.5,2.3,-0.1,2.8,2.4,3.2,3.3,7.0,-0.4,4.7
South East,E07000006,South Bucks,-,2.9,1.8,1.5,2.3,2.9,-2.0,1.1,0.6,-0.4,-1.2,-7.8,5.7,3.1,-3.6,0.1,2.0,-1.1,-4.4,5.1,-4.0
South East,E07000007,Wycombe,-,4.9,4.4,1.5,1.4,2.8,-1.8,2.3,1.5,1.2,-1.8,-4.9,2.6,3.2,0.0,-1.1,1.4,1.4,-0.9,-2.2,-1.7
South East,E07000061,Eastbourne,-,3.6,2.2,1.6,2.0,0.6,-0.9,1.0,1.7,-2.1,1.3,-4.1,1.6,3.5,-3.4,3.1,-0.7,-2.1,5.3,1.1,-3.2
South East,E07000062,Hastings,-,2.4,3.1,0.2,1.7,0.4,1.6,1.0,1.3,-1.7,1.8,-3.8,2.1,3.1,-3.1,-0.5,3.3,2.1,2.2,-2.1,1.7
South East,E07000063,Lewes,-,2.4,2.7,3.7,0.3,1.2,0.4,4.1,0.0,-2.2,-0.4,-4.8,1.5,-0.8,-2.8,1.0,2.8,5.9,-1.2,0.2,0.4
South East,E07000064,Rother,-,4.0,1.6,3.4,0.9,1.5,0.5,2.2,1.3,-2.6,1.1,-4.1,2.5,0.6,-2.9,6.2,0.5,5.4,3.1,-5.0,-3.9
South East,E07000065,Wealden,-,5.2,1.7,1.5,0.2,0.1,-0.3,2.3,0.7,-1.6,-0.2,-5.1,5.2,-0.1,-2.7,0.8,2.9,2.7,1.0,3.3,-4.1
South East,E07000084,Basingstoke and Deane,-,0.4,5.0,3.0,2.8,-0.6,1.6,3.1,-1.2,-0.7,-0.9,-2.7,2.9,1.2,4.2,4.8,-6.8,-0.6,-3.8,5.5,4.4
South East,E07000085,East Hampshire,-,2.7,2.8,3.8,2.4,1.1,3.9,4.6,0.8,-1.2,-3.1,-1.9,8.0,3.1,0.1,-3.7,-5.3,-3.0,-10.9,5.5,-3.3
South East,E07000086,Eastleigh,-,-3.5,2.9,5.6,0.1,1.4,2.5,1.7,0.9,0.4,-3.5,-6.9,4.6,2.3,5.2,0.1,8.5,-1.3,0.9,-1.1,3.8
South East,E07000087,Fareham,-,0.5,1.0,1.2,0.5,0.1,2.2,2.9,0.9,0.2,-1.7,-6.5,4.9,2.7,4.7,1.9,13.9,-7.8,0.7,0.2,0.7
South East,E07000088,Gosport,-,1.4,3.4,1.0,-1.1,3.8,1.4,0.9,0.1,-1.9,-0.4,-4.0,2.5,0.5,-3.9,6.0,3.5,-4.6,-0.7,-0.4,4.3
South East,E07000089,Hart,-,6.9,12.3,7.7,6.2,-0.7,1.9,1.7,0.9,3.8,-0.6,-7.8,8.2,0.5,-2.5,6.8,2.9,6.3,5.0,-3.6,-3.5
South East,E07000090,Havant,-,2.5,7.2,0.3,0.4,-1.5,4.2,3.5,0.3,3.2,-0.6,-6.0,10.4,2.7,1.7,3.1,-1.0,-1.2,-2.1,-4.6,-5.8
South East,E07000091,New Forest,-,-2.3,4.8,-4.1,-3.1,9.6,4.2,-3.4,-9.2,11.9,-17.9,5.5,12.8,1.3,-4.6,-8.8,-4.5,5.1,-6.6,4.6,-2.5
South East,E07000092,Rushmoor,-,-0.3,6.0,8.0,3.4,2.1,6.5,2.9,2.2,3.0,-0.1,-3.4,4.3,1.2,0.2,2.0,0.0,9.1,1.8,3.2,6.8
South East,E07000093,Test Valley,-,0.1,2.7,2.3,0.7,-0.2,2.2,1.8,1.5,-0.7,-1.7,-6.1,6.3,4.0,-1.8,3.9,28.1,-13.1,0.2,-0.2,2.7
South East,E07000094,Winchester,-,2.5,6.3,3.0,1.4,-1.0,4.3,3.4,2.4,2.5,0.3,-4.8,4.8,3.2,1.8,1.5,4.7,6.6,4.6,0.0,-2.9
South East,E07000105,Ashford,-,2.5,-0.4,-0.3,1.1,1.0,0.1,3.1,-1.1,-0.2,1.2,-7.7,2.9,3.0,-3.9,3.5,2.8,4.2,2.9,-1.9,-1.1
South East,E07000106,Canterbury,-,1.5,0.2,3.6,2.9,1.9,2.8,2.7,-0.4,-0.5,1.3,-5.3,3.3,-0.6,-1.0,0.7,2.9,-2.2,-3.7,1.2,0.2
South East,E07000107,Dartford,-,1.7,0.4,4.2,4.7,4.7,1.7,-1.7,-3.1,1.9,-1.2,-10.3,5.5,0.3,-0.3,3.8,3.5,2.6,6.9,-9.3,-2.5
South East,E07000108,Dover,-,2.1,-1.2,-1.1,-0.4,-0.7,2.6,3.2,-4.0,-2.2,1.3,-5.3,6.0,1.6,2.7,0.4,0.7,-0.5,-6.3,-1.3,2.2
South East,E07000109,Gravesham,-,-0.3,-0.9,-1.0,17.3,-5.6,-0.6,3.7,4.5,-3.0,12.9,-10.6,8.0,-0.9,-4.3,8.3,-2.3,2.6,21.3,-10.9,3.4
South East,E07000110,Maidstone,-,0.6,0.4,3.2,1.9,3.2,1.9,1.9,-0.5,1.4,0.2,-8.2,3.7,2.5,-5.0,2.8,3.2,-0.6,3.1,0.0,0.4
South East,E07000111,Sevenoaks,-,2.1,-0.4,4.1,2.1,1.9,3.7,2.7,-0.1,0.5,-1.5,-7.4,6.9,4.7,9.1,-0.3,-0.4,8.0,1.7,5.5,-0.1
South East,E07000112,Folkestone and Hythe,-,1.8,0.2,0.1,1.0,1.6,3.9,5.0,0.1,-0.2,0.4,-7.2,1.8,1.6,0.9,1.0,-4.9,1.8,7.6,2.0,-4.6
South East,E07000113,Swale,-,-0.7,-3.4,1.4,2.3,4.7,2.9,-2.9,-3.2,-0.6,-1.4,-11.1,5.0,1.0,-12.4,6.4,1.2,1.8,1.7,-1.8,-1.1
South East,E07000114,Thanet,-,2.7,-0.1,3.0,1.0,2.1,5.3,4.6,1.0,0.2,1.4,-6.9,4.0,0.1,-1.9,1.3,-0.6,1.1,0.5,3.6,0.0
South East,E07000115,Tonbridge and Malling,-,3.8,1.5,-0.1,-0.3,2.0,2.9,3.9,-0.1,0.5,-1.6,-7.7,1.5,4.3,-3.6,0.5,-0.1,0.9,-0.1,4.5,-1.7
South East,E07000116,Tunbridge Wells,-,1.2,-2.4,1.5,3.6,1.1,1.4,4.1,-1.0,-2.1,1.9,-5.1,5.6,3.8,-7.2,-0.6,-1.6,16.9,5.7,-3.4,-3.7
South East,E07000177,Cherwell,-,3.0,2.7,1.4,0.7,-0.3,-0.6,1.9,-0.3,0.5,1.8,-5.9,0.4,3.3,2.0,0.2,4.0,2.5,0.6,-0.4,-5.1
